"","variance","entropy"
"empirical",19.993089244851,1.99612494660298
"sim_1",6.2623790739757,1.59107651002162
"sim_2",1.12790782348959,1.3245635316269
"sim_3",9.66734265705438,1.86210068536057
"sim_4",11.7455789266866,2.123443317691
"sim_5",13.8846873063567,1.74228548984622
"sim_6",59.9698236242158,2.14992277083819
"sim_7",39.1803176880028,2.23457588031539
"sim_8",38.8380054986047,2.49314085156424
"sim_9",2.59540189139914,1.74703240420608
"sim_10",18.9674178128961,1.922272687602
"sim_11",15.4722191308033,1.83847205753318
"sim_12",21.6087403358792,1.9778726303507
"sim_13",39.5624693434237,2.09386758158028
"sim_14",2.63727757237013,1.77333390306332
"sim_15",22.5887230514096,1.86575473128104
"sim_16",3.50954286837008,1.61258028363623
"sim_17",1.80576130669492,1.66151188609717
"sim_18",9.50787075393536,1.75954868907421
"sim_19",27.111495821088,1.95549161384508
"sim_20",47.1118406861026,1.87976638553594
"sim_21",93.9019800198112,2.69466453146627
"sim_22",68.2661121347139,2.17749614946731
"sim_23",32.4358983871031,1.77999593152509
"sim_24",84.9222143906263,2.14155865325499
"sim_25",6.69128535725125,1.85448979577906
"sim_26",8.6659673188875,1.36282751242881
"sim_27",1.34905835363364,1.51541145839319
"sim_28",22.4913900533236,2.37949976933777
"sim_29",6.12619723805713,1.94702044493659
"sim_30",76.6474215500796,2.24605913087877
"sim_31",42.8408674660391,2.19177545392898
"sim_32",56.7955266473487,2.60847987026678
"sim_33",26.1186802799037,1.85898675209646
"sim_34",4.3109693180054,2.08036309597202
"sim_35",52.1377728864645,2.20827008546436
"sim_36",73.6648970007741,2.3790061603962
"sim_37",67.2115685037937,2.905327822311
"sim_38",1.93931887098612,1.50815626824223
"sim_39",1.66556749530448,1.66994799961865
"sim_40",14.0944092022626,2.05395915983166
"sim_41",1.60634689023812,1.60587087123464
"sim_42",76.3621920774469,2.30320249869125
"sim_43",67.5772545722095,2.13771773297222
"sim_44",1.92593233775889,1.6471291953012
"sim_45",27.8131065193229,2.10769768225267
"sim_46",43.0455221819653,2.14093716511935
"sim_47",27.017750243536,2.2158501727528
"sim_48",0.61522269898781,0.656527714737985
"sim_49",1.85226587306499,1.4237348836499
"sim_50",4.15100416173759,1.44615261685563
"sim_51",4.09823019671049,1.85173424666335
"sim_52",33.5808639761696,2.44073945187925
"sim_53",5.41639771317396,1.66329511836166
"sim_54",32.2047385277424,2.65699176989433
"sim_55",39.1112718649229,2.56544025404729
"sim_56",77.885093999762,2.47292386972726
"sim_57",5.9400415761567,1.78369696877715
"sim_58",7.70099104037933,1.63490436821453
"sim_59",64.6363034317498,2.36420164892854
"sim_60",1.75327587415037,1.63872904014016
"sim_61",4.96733537504425,1.77351660527667
"sim_62",22.6479161771922,1.87173439039862
"sim_63",1.45516686108261,1.57742462133718
"sim_64",73.7693746127141,2.0786042913592
"sim_65",5.57694955215639,1.51929948229013
"sim_66",17.516916934246,1.83305836773558
"sim_67",44.2856608973908,2.08571217393655
"sim_68",42.0263182843033,1.88371179565001
"sim_69",18.3728952585872,1.95145980769267
"sim_70",163.408824422488,2.70701545958463
"sim_71",12.8505003290644,1.92581389989282
"sim_72",2.06781749908288,1.53567610990543
"sim_73",2.21201779008851,1.78943242602559
"sim_74",24.3621343709514,1.87580983587685
"sim_75",29.7591440752603,2.12023429799686
"sim_76",33.4000763924095,2.68286055415429
"sim_77",116.84813573667,2.47477842991509
"sim_78",6.30617418293796,1.70720027211761
"sim_79",42.4337714905177,2.06767499169506
"sim_80",20.7748471121334,2.38043096751347
"sim_81",77.658813087283,2.4748147322634
"sim_82",23.3457154987285,2.30483493846329
"sim_83",70.7327625886039,2.7095769697321
"sim_84",32.861952320694,2.46932107355812
"sim_85",6.05313943950511,1.66634918155668
"sim_86",12.3989456198708,2.14404848940634
"sim_87",27.2598523538069,2.59742356895947
"sim_88",7.30338366164222,1.77688631645351
"sim_89",2.35594328825356,1.78021127640514
"sim_90",5.95585727809456,1.64223009254352
"sim_91",6.25408033019107,1.9763098940438
"sim_92",81.4447233591774,2.51562387824538
"sim_93",42.7109866299561,1.69794240937692
"sim_94",58.5355959775833,2.64066501242161
"sim_95",177.816927513771,2.57726765985639
"sim_96",164.152544375607,2.35597091442091
"sim_97",69.8706412703122,2.39428368750513
"sim_98",28.2730946207926,2.42258936668437
"sim_99",1.24615118277707,1.4180197273972
"sim_100",4.21138164466255,1.7096575961097
