"","variance","entropy"
"empirical",1.87777777777778,1.54006156843948
"sim_1",7.30253623188406,2.10600307271718
"sim_2",4.77536231884058,1.91091427158701
"sim_3",5.91123188405797,2.03771282686987
"sim_4",2.57971014492754,1.67698098352361
"sim_5",2.97826086956522,1.71005701470334
"sim_6",1.47826086956522,1.44472342180625
"sim_7",4.1286231884058,1.97156076451042
"sim_8",6.17210144927536,1.82771972828453
"sim_9",2.07065217391304,1.65517897753342
"sim_10",5.86775362318841,1.79827396937043
"sim_11",7.21739130434783,2.00463679569014
"sim_12",4.42753623188406,1.93560050545395
"sim_13",2.67934782608696,1.76594398257959
"sim_14",3.36231884057971,1.8118905165457
"sim_15",3.64492753623188,1.75942948243721
"sim_16",2.21557971014493,1.58614268729723
"sim_17",3.88405797101449,1.7812314884274
"sim_18",10.0416666666667,2.18556734375404
"sim_19",3.47101449275362,1.65108624812596
"sim_20",3.03623188405797,1.8502677786636
"sim_21",1.43297101449275,1.37764167748965
"sim_22",8.14492753623188,1.98759431474711
"sim_23",4.25905797101449,1.79827396937043
"sim_24",7.55797101449275,1.85958725793354
"sim_25",2.95471014492754,1.80666376668322
"sim_26",3.47101449275362,1.83973979786294
"sim_27",4.28260869565217,1.79827396937043
"sim_28",5.1231884057971,2.10888730059393
"sim_29",3.29710144927536,1.84905927713288
"sim_30",3.15760869565217,1.83973979786294
"sim_31",7.1231884057971,2.21025357762097
"sim_32",4.60869565217391,1.85194350500963
"sim_33",3.44927536231884,1.88334380984332
"sim_34",4.28260869565217,1.80591772229434
"sim_35",3.08514492753623,1.61325069189908
"sim_36",6.66666666666667,1.87374551099982
"sim_37",3.18840579710145,1.87783824040728
"sim_38",5.11413043478261,1.93560050545395
"sim_39",2.78079710144927,1.7517857295133
"sim_40",2.97826086956522,1.83899375347406
"sim_41",4.15760869565217,1.74815545724768
"sim_42",3.78079710144927,1.80377953880647
"sim_43",1.33152173913043,1.47538244992455
"sim_44",5.34601449275362,2.00463679569014
"sim_45",4.10869565217391,1.93150777604648
"sim_46",6.84057971014493,2.16376533776385
"sim_47",5.34601449275362,2.00752102356689
"sim_48",2.43297101449275,1.54542290319359
"sim_49",1.02717391304348,1.32810905137542
"sim_50",2.02717391304348,1.68274943927711
"sim_51",3.94021739130435,1.9193040688998
"sim_52",4.16666666666667,1.88501953618936
"sim_53",4.66666666666667,1.85603623441709
"sim_54",5.18840579710145,2.09472904752765
"sim_55",4.15760869565217,1.65330368036301
"sim_56",4.57971014492754,1.96867653663367
"sim_57",7.02717391304348,1.9857190175767
"sim_58",4.7536231884058,1.83135000055016
"sim_59",2.97826086956522,1.78411571630415
"sim_60",5.91123188405797,1.98283478969995
"sim_61",5.43297101449275,2.05876878847118
"sim_62",6.25905797101449,1.96867653663367
"sim_63",2.51449275362319,1.74815545724768
"sim_64",3.82608695652174,1.88548199333119
"sim_65",7.55797101449275,1.73399720418139
"sim_66",3.82427536231884,1.75466995739005
"sim_67",4.78079710144927,2.02643880168033
"sim_68",2.31884057971015,1.51266987170494
"sim_69",6.40579710144928,1.83899375347406
"sim_70",4.11413043478261,1.97156076451042
"sim_71",2.60688405797101,1.74527122937093
"sim_72",8.43297101449275,2.07004281366071
"sim_73",7.91123188405797,1.88435274054966
"sim_74",4.33152173913043,1.91091427158701
"sim_75",1.71014492753623,1.59909243883279
"sim_76",3.9927536231884,1.69113923658989
"sim_77",1.90579710144928,1.61082892116416
"sim_78",4.34057971014493,1.75533675302975
"sim_79",2.59239130434783,1.72346922338074
"sim_80",5.01449275362319,2.10479457118647
"sim_81",4.38949275362319,2.00463679569014
"sim_82",5.04347826086957,1.95451828356739
"sim_83",3.95471014492754,1.86442603172988
"sim_84",2.14492753623188,1.59620821095605
"sim_85",5.11413043478261,2.03696678248099
"sim_86",4.42753623188406,1.82558154479666
"sim_87",5.38405797101449,1.80303349441759
"sim_88",4.47644927536232,1.82846577267341
"sim_89",1.27536231884058,1.40809636711008
"sim_90",1.33152173913043,1.4113035946779
"sim_91",2.25905797101449,1.77070350762675
"sim_92",2.86775362318841,1.64269645081317
"sim_93",2.07065217391304,1.31028111359948
"sim_94",3.21014492753623,1.8502677786636
"sim_95",4.92753623188406,1.82437304326595
"sim_96",3.99275362318841,1.40997166428049
"sim_97",2.71739130434783,1.79827396937043
"sim_98",6.02717391304348,1.87495401253054
"sim_99",4.67934782608696,2.04824080767052
"sim_100",4.21557971014493,1.85603623441709
"sim_101",1.55797101449275,1.51496821357316
"sim_102",5.03623188405797,1.8342342284269
"sim_103",4.94927536231884,1.97156076451042
"sim_104",1.03623188405797,1.31578668303552
"sim_105",1.78079710144928,1.56434068130704
"sim_106",3.85326086956522,1.90803004371026
"sim_107",4.38949275362319,1.91091427158701
"sim_108",9.51992753623188,1.7517857295133
"sim_109",11.6503623188406,2.30397610172411
"sim_110",3.47644927536232,1.64102072446714
"sim_111",3.79710144927536,1.80666376668322
"sim_112",4.07065217391304,1.92983204970045
"sim_113",5.47644927536232,2.10311884484044
"sim_114",4.82427536231884,1.87495401253054
"sim_115",4,1.96867653663367
"sim_116",5.15760869565217,1.88911226559682
"sim_117",4.73731884057971,2.01228054861405
"sim_118",3.10144927536232,1.59211548154858
"sim_119",4.78260869565217,1.79063021644653
"sim_120",6.34601449275362,2.13068930658412
"sim_121",3.06521739130435,1.76231371031396
"sim_122",6.9981884057971,2.0151647764908
"sim_123",3.21557971014493,1.69113923658989
"sim_124",3.38405797101449,1.70045871585984
"sim_125",9.71014492753623,1.96579230875692
"sim_126",2.15760869565217,1.4181618907689
"sim_127",6.14492753623188,2.10311884484044
"sim_128",2.08514492753623,1.61082892116416
"sim_129",4.66666666666667,2.0151647764908
"sim_130",4.31884057971014,1.94975875852023
"sim_131",0.73731884057971,1.22235763644586
"sim_132",3.29710144927536,1.81598324595316
"sim_133",3.98369565217391,1.89554751699001
"sim_134",2.07065217391304,1.65806320541017
"sim_135",4.68840579710145,1.79063021644653
"sim_136",5.08514492753623,2.08131683885025
"sim_137",8.98369565217391,1.77647196338024
"sim_138",1.59239130434783,1.53368642086223
"sim_139",2.6304347826087,1.58614268729722
"sim_140",9.04166666666667,1.77909330493953
"sim_141",2.76630434782609,1.76231371031396
"sim_142",4.30253623188406,1.94687453064348
"sim_143",4.76630434782609,1.63049274366648
"sim_144",2.91123188405797,1.69113923658989
"sim_145",2.14492753623188,1.7045514452673
"sim_146",5.04166666666667,1.96458380722621
"sim_147",1.76086956521739,1.55092847262963
"sim_148",3.54891304347826,1.93560050545395
"sim_149",8.94021739130435,1.97920451743432
"sim_150",2.91123188405797,1.79538974149368
"sim_151",3.72282608695652,1.80303349441759
"sim_152",2.98369565217391,1.21246586008889
"sim_153",1.80978260869565,1.63860372140571
"sim_154",3.88405797101449,1.84839248149319
"sim_155",10.1286231884058,2.11727709790672
"sim_156",2.40579710144928,1.65685470387946
"sim_157",4.14492753623188,1.95451828356739
"sim_158",3.38949275362319,1.76594398257959
"sim_159",4.46195652173913,1.99336277050061
"sim_160",5.56340579710145,1.99886833993665
"sim_161",5.04347826086957,1.74406272784021
"sim_162",6.31884057971015,2.10600307271718
"sim_163",3.6231884057971,1.8342342284269
"sim_164",3.56340579710145,1.92144225238766
