"","variance","entropy"
"empirical",4.29254901960785,1.12007478985052
"sim_1",2.92051282051282,1.0783723684987
"sim_2",7.79423076923077,1.41315983151835
"sim_3",14.0282051282051,1.46376518313832
"sim_4",12.2044871794872,1.7725887169493
"sim_5",19.2923076923077,1.71312938076542
"sim_6",3.94807692307692,1.51342635161852
"sim_7",7.35320512820511,0.861960767090644
"sim_8",2.18205128205128,1.29729175614654
"sim_9",15.1384615384615,1.65579217718647
"sim_10",20.3326923076923,1.95718709086992
"sim_11",0.81025641025641,1.02940268926103
"sim_12",22.8205128205128,1.14595654982865
"sim_13",4.3974358974359,1.45359150821107
"sim_14",7.16346153846154,1.50463055189072
"sim_15",2.80769230769231,1.49359930799927
"sim_16",2.06089743589744,1.23303806595977
"sim_17",19.5634615384615,1.79875112413752
"sim_18",8.71217948717949,1.67494188950778
"sim_19",9.44615384615385,1.36152364278037
"sim_20",6.57435897435897,1.26144919181225
"sim_21",0.984615384615384,0.882298701077225
"sim_22",12.2557692307692,1.72621058435953
"sim_23",0.712179487179486,1.16459306144709
"sim_24",7.02307692307692,1.41893414918308
"sim_25",10.5615384615384,1.25514488108639
"sim_26",19.1224358974359,1.88534168132024
"sim_27",12.8487179487179,1.73821729336848
"sim_28",12.5538461538461,1.88173167084162
"sim_29",3.63076923076924,1.29270836499628
"sim_30",1.40448717948718,1.46568778899641
"sim_31",4.07115384615384,0.930037263699336
"sim_32",16.4301282051282,1.80624910133176
"sim_33",9.67948717948718,1.19369511245076
"sim_34",15.5121794871795,1.26723306943064
"sim_35",6.67692307692308,1.35984205908881
"sim_36",0.789102564102564,1.21085491416184
"sim_37",20.2147435897436,1.93879167399894
"sim_38",3.55833333333333,1.37219816176449
"sim_39",12.4352564102564,1.19665017020572
"sim_40",4.20256410256409,1.1006535802012
"sim_41",15.4333333333333,1.62481888595712
"sim_42",12.0923076923077,1.29684412951321
"sim_43",1.76858974358974,1.40363579640455
"sim_44",24.0923076923077,1.63028756316458
"sim_45",14.3871794871795,1.62087807724319
"sim_46",2.66089743589744,1.26817713164602
"sim_47",1.1224358974359,1.41055794330874
"sim_48",2.53269230769231,1.33076390986824
"sim_49",3.04551282051282,1.33749184970201
"sim_50",6.3326923076923,1.68987337232257
"sim_51",28.5025641025641,1.37550436403021
"sim_52",7.49743589743589,1.18061390885664
"sim_53",18.2333333333334,1.92458529210258
"sim_54",11.6916666666667,1.61720635957047
"sim_55",15.4128205128205,1.33900342513111
"sim_56",1.96858974358974,1.33357826412357
"sim_57",29.6608974358974,1.95751211440453
"sim_58",3.76858974358975,1.3172350796408
"sim_59",12.7794871794872,1.44882262635397
"sim_60",15.9583333333333,1.79445080783036
"sim_61",12.1891025641026,1.864565680654
"sim_62",3.8948717948718,1.35208462872522
"sim_63",0.656410256410256,1.12628082915236
"sim_64",22.8967948717949,1.82045548322812
"sim_65",19.0871794871795,1.56097284510859
"sim_66",5.65064102564103,1.22021960772695
"sim_67",4.91025641025641,1.60562717145179
"sim_68",13.7538461538462,1.81296596719597
"sim_69",3.99423076923076,1.26769542498777
"sim_70",9.93846153846153,1.47862587649296
"sim_71",6.79743589743589,1.36152364278037
"sim_72",14.8403846153846,1.75572701692647
"sim_73",12.7461538461538,1.57109241552251
"sim_74",17.4301282051282,1.56718085483299
"sim_75",4.97179487179486,1.17274895943628
"sim_76",21.1224358974359,1.73079683611387
"sim_77",1.33269230769231,1.29125530255534
"sim_78",15.474358974359,1.71032434945421
"sim_79",19.1179487179487,1.21822632563961
"sim_80",5.11217948717949,1.23503134804712
"sim_81",12.0410256410256,1.94052221072499
"sim_82",6.86923076923077,1.68846225857314
"sim_83",14.5,1.66958012698141
"sim_84",17.9173076923077,1.77678335248191
"sim_85",4.21474358974359,1.45756294385034
"sim_86",0.848717948717949,1.04023003423551
"sim_87",0.356410256410256,0.845230499265218
"sim_88",5.89487179487179,1.38674198775322
"sim_89",5.4974358974359,1.61607010729866
"sim_90",15.7948717948718,1.73085038043505
"sim_91",11.925641025641,0.959687893821218
"sim_92",8.14807692307692,1.62056151487067
"sim_93",2.41025641025641,1.291264862509
"sim_94",18.9717948717949,1.45571612724927
"sim_95",7.68653846153847,1.36655752116804
"sim_96",11.3820512820513,1.85671517532545
"sim_97",2.91730769230769,1.45794497432574
"sim_98",14.0608974358974,2.01028455541432
"sim_99",1.42564102564103,1.22653639620735
"sim_100",1.27179487179487,1.11339181561467
"sim_101",14.3564102564102,1.41662090497045
"sim_102",11.8871794871795,1.72972234152871
"sim_103",5.5224358974359,1.48420508630039
"sim_104",4.98397435897436,1.76136625373794
"sim_105",9.76346153846153,1.45241451627025
"sim_106",12.5839743589744,1.50478828368119
"sim_107",15.7820512820513,1.57968221154462
"sim_108",5.64102564102564,1.63429007907261
"sim_109",3.07628205128205,1.23303806595977
"sim_110",14.5538461538461,1.7917413433672
"sim_111",5.0025641025641,1.9376664956967
"sim_112",2.94294871794872,1.4915493482966
"sim_113",11.5326923076923,1.68589247899203
"sim_114",13.5378205128205,1.96156706505509
"sim_115",7.16923076923078,1.35984205908881
"sim_116",2.59230769230769,1.57487005134713
"sim_117",7.37884615384616,1.55756358529507
"sim_118",8.06153846153847,1.70463442892565
"sim_119",10.5538461538462,2.12746637335099
"sim_120",16.4076923076923,1.8142964265382
"sim_121",6.6948717948718,1.60396569350328
"sim_122",9.47692307692308,1.48366261548473
"sim_123",1.33269230769231,1.12057103703601
"sim_124",2.71794871794872,0.960813072123464
"sim_125",2.68653846153846,1.19665017020572
"sim_126",4.15320512820513,1.33749184970201
"sim_127",9.72051282051281,1.48019868142854
"sim_128",0.83076923076923,1.20136700426899
"sim_129",10.1275641025641,2.13350568754629
"sim_130",6.67628205128205,1.2774461374387
"sim_131",8.35641025641026,1.2326858929436
"sim_132",1.80448717948718,1.225666654482
"sim_133",18.3692307692308,1.36057958056499
"sim_134",9.48141025641026,1.45586451575279
"sim_135",6.74615384615384,1.46945337298428
"sim_136",17.0769230769231,1.71635520248741
"sim_137",2.82051282051282,1.54399576924258
"sim_138",2.24615384615385,1.30641357593814
"sim_139",9.07435897435897,1.85293467889674
"sim_140",20.7076923076923,1.59898535943678
"sim_141",3.66089743589744,1.27308019356951
"sim_142",5.89679487179487,1.6120665630309
"sim_143",2.66602564102564,1.60635227237022
"sim_144",1.07115384615385,1.08132742625367
"sim_145",10.650641025641,1.77041055358992
"sim_146",9.57371794871795,1.49656118897608
"sim_147",18,1.46376518313832
"sim_148",3.20448717948718,1.60860262897471
"sim_149",9.63076923076922,1.36057958056499
"sim_150",1.63846153846154,0.819595216469964
"sim_151",5.37435897435898,1.24201472445779
"sim_152",10.9717948717949,1.69651804494167
"sim_153",2.28461538461538,1.23988411034792
"sim_154",9.07692307692308,1.29575501923513
"sim_155",13.2205128205128,2.10140535393978
"sim_156",0.86602564102564,1.29104056382407
"sim_157",11.4967948717949,1.49071406483721
"sim_158",9.82307692307693,1.7700911306133
"sim_159",13.8358974358974,1.85807873982537
"sim_160",5.31025641025641,1.256607503481
"sim_161",18.8615384615384,1.67393645370016
"sim_162",34.1512820512821,1.60635227237022
"sim_163",18.7076923076923,1.81956022996146
"sim_164",5.46089743589743,1.79875112413752
"sim_165",5.59935897435897,1.42239236203108
"sim_166",6.97371794871795,1.21146191052589
"sim_167",16.8615384615385,1.6012583669785
"sim_168",6.15320512820513,1.5233509922963
"sim_169",8.05128205128205,1.16076829014881
"sim_170",9.18974358974358,1.58141274827067
"sim_171",2.91730769230769,1.19802853391561
"sim_172",7.43525641025641,1.62334217604976
"sim_173",15.5839743589744,1.81356286445769
"sim_174",8.17371794871794,1.45127826399845
"sim_175",14.9224358974359,1.73415086149258
"sim_176",8.15320512820512,1.70959924853578
"sim_177",5.01538461538461,1.3121034964667
"sim_178",4.99423076923077,1.77938524069152
"sim_179",2.66602564102564,1.30235278401576
"sim_180",3.79423076923077,1.61536704408843
"sim_181",0.5,1.03311408751667
"sim_182",14.9480769230769,1.85068432229225
"sim_183",1.75384615384615,1.48553340770424
"sim_184",5.40448717948718,1.53307990119431
"sim_185",7.91730769230769,1.542343306429
"sim_186",7.10192307692308,1.69570640894869
"sim_187",4.28461538461539,1.49674381907884
"sim_188",28.051282051282,1.70500453561935
"sim_189",7.13846153846154,1.55627781459825
"sim_190",25.2923076923077,2.07206220818865
"sim_191",2.86602564102564,0.981144661878616
"sim_192",6.02820512820513,1.33480769080692
"sim_193",29.8564102564103,1.55365202460555
"sim_194",6.55833333333333,1.52967064138079
"sim_195",1.74102564102564,1.35359932792843
"sim_196",0.907051282051282,1.14439591113414
"sim_197",9.11538461538461,1.4409550706462
"sim_198",6.23012820512821,1.53643219589042
"sim_199",15.1019230769231,2.14170194977926
"sim_200",11.8435897435897,1.76582430183557
"sim_201",9.85641025641025,1.27782157082691
"sim_202",20.5070512820513,1.56946779694836
"sim_203",12.0897435897436,1.83135852346285
"sim_204",3.71730769230769,1.61412212329156
"sim_205",0.4,0.922475554422072
"sim_206",5.13846153846155,1.23987303637836
"sim_207",6.55128205128205,1.36773165250478
"sim_208",1.93846153846154,1.60038801202413
"sim_209",9.2044871794872,1.37366078415911
"sim_210",0.99423076923077,1.21085491416184
"sim_211",4.35320512820513,1.36202022244819
"sim_212",9.07435897435896,1.87446015061354
"sim_213",5.84038461538461,1.38813194591933
"sim_214",2.02820512820513,1.06183009145249
"sim_215",6.66089743589743,1.99878495151972
"sim_216",5.62820512820513,1.27937333458348
"sim_217",20.3358974358974,1.4946844016849
"sim_218",11.425641025641,1.62860597947302
"sim_219",14.4717948717949,1.77948133571973
"sim_220",4.28141025641026,1.64341771979318
"sim_221",9.7948717948718,1.68982868367715
"sim_222",3.31730769230769,1.40294541692209
"sim_223",27.8333333333333,1.94096983735832
"sim_224",14.3076923076923,1.46549571986436
"sim_225",9.47692307692308,1.95858660898969
"sim_226",8.2153846153846,1.5666010079505
"sim_227",12.9173076923077,1.50411073201227
"sim_228",14.025,1.61720635957047
"sim_229",17.3275641025641,1.49901682662056
"sim_230",1.71730769230769,1.48611825312921
"sim_231",18.7666666666667,1.83513901989157
"sim_232",21.4814102564103,1.67230362176054
"sim_233",17.5634615384615,1.38141821452269
"sim_234",3.46410256410256,1.25859347678395
"sim_235",5.73076923076923,1.49926851550086
"sim_236",6.31794871794872,1.59684628416483
"sim_237",10.6660256410256,1.04814077504553
"sim_238",17.999358974359,1.82587701844185
"sim_239",3.08653846153846,1.66104904992069
"sim_240",8.15320512820513,1.43083836083637
"sim_241",7.58397435897435,1.07449117301297
"sim_242",5.40961538461538,1.73039989319763
"sim_243",3.25576923076923,1.62664551771138
"sim_244",11.3307692307692,1.87168162737283
"sim_245",16.0487179487179,1.77085818022325
