"i","asc1","desc1","pol1","dem1","p"
1,0.397270625355952,0.778172276797117,1.25072981901429,7.14931630087085,-247.692075944365
2,0.459034513527516,0.547008389222555,0.814359318825663,2.20077035268402,-219.432864595125
3,0.686647663701342,0.0983098772058118,1.28756077577105,2.26298005972993,-213.710981149162
4,0.658558881280454,0.0654421269953201,1.59372621647759,2.5665998255555,-213.460537278086
5,0.763011974049283,0.00254947397401098,1.21534509992904,2.32724199746624,-213.542059499696
6,0.299081752753171,0.195177996090702,1.98761437104708,2.36531867424342,-213.429671600992
7,0.332203189937541,0.248892294884715,1.10242947603269,2.43734413648609,-213.050242422042
8,0.311091479516376,0.025067951175236,1.67223001241377,2.43135565325306,-211.451581956646
9,0.171314669203246,0.0826006013105317,1.96438295475689,2.20351895312969,-212.767046699909
10,0.0952058163069488,0.309998778965922,1.1379345374882,2.78908569431122,-212.987564071404
11,0.156284524563449,0.0914118919871619,1.50083716621173,2.60814217194173,-211.33524244422
12,0.121004975226904,0.189469797445149,1.56697992165022,2.14283400559988,-211.90262144287
13,0.224678258018465,0.051800695279662,1.34870119640042,3.41854031658921,-213.303187912463
14,0.247964945351972,0.320362979048448,1.2079962528763,3.71845685616326,-216.456198103234
15,0.355103020621502,0.405996217959992,1.33834553032481,3.16611229460876,-215.444749748871
16,0.132971474852649,0.126829948604957,1.35545116348491,3.04909681845846,-212.201280265095
17,0.135872275059228,0.17391033569634,1.28414557187186,1.81659655869397,-212.965384664039
18,0.312190107520011,0.129692023306363,1.75572972490109,3.15816777679527,-213.715771164076
19,0.133331434018405,0.14840184778733,1.42368548583843,2.62154563181492,-211.413401895146
20,0.181168966532307,0.106453978817123,1.5021260903001,2.90739098136193,-211.822026771515
21,0.123425870948247,0.012189550020171,1.48317742680834,2.11888886711967,-212.289219604414
22,0.520484150377429,0.00500996039260382,1.96873572389895,2.43661965504275,-213.378160937201
23,0.219539206915639,0.00267375951025868,1.12109129377941,2.45547911110321,-211.513014680648
24,0.400271271512922,0.0156509047601259,1.45249580885584,1.86027121921056,-212.240230832707
25,0.388062957385122,0.0691438992529608,1.40143944919409,2.45481832345827,-211.437029460042
26,0.366344754895512,0.100955116559318,1.205495120272,2.50348551668091,-211.756972441361
27,0.14980233792909,0.07576860537632,1.43189613086807,2.48789943315884,-211.234559364642
28,0.215781199862039,0.0738040230723127,1.14924764641264,3.31210245335339,-213.094558154667
29,0.172397403711805,0.182089116285357,0.769507840356622,2.08757468270002,-215.472203203399
30,0.263945088931822,0.153312560571456,1.95612427019905,2.38454664995671,-212.895896314159
31,0.180447991187752,0.132233274470016,1.27994914828259,2.60955389783495,-211.344290236749
32,0.186098623210025,0.0828690428906392,1.18914273204673,2.52574236140364,-211.359088871527
33,0.20430876962759,0.208382763293457,1.00562946559357,2.93568641188332,-213.198290894704
34,0.0566027942632329,0.108349190267073,1.24005879842255,2.54369558797927,-212.168273021959
35,0.178412792618414,0.152749462033097,1.37917353630562,2.44599047887128,-211.276373498193
36,0.375988484650668,0.0472782329832745,1.0916438815713,2.10693307622554,-212.261078847759
37,0.330607233865367,0.0363756021766854,1.24803901422472,2.07975567782013,-211.602500062881
38,0.883454412078406,0.0471070938766381,1.38909926334609,2.78729001607276,-215.326224521717
39,0.726947432865626,0.49371659490415,1.30711181392905,1.58381864533289,-220.292763237908
40,0.553396373558014,0.208076099106038,1.62028714418051,1.96320091199591,-214.304569679161
41,0.329746573085195,0.254508528176977,1.47127715217336,2.63248268482163,-212.633967638469
42,0.109834122705923,0.269267644424415,1.47155021333492,2.41633627142582,-211.958878871749
43,0.0375632359104097,0.469013027040246,1.75015457056262,2.91190818578761,-214.916711588549
44,0.246969550164059,0.457918552659561,1.52209186863766,2.30632703219704,-213.94238774009
45,0.0227927846547714,0.115242548497503,1.3832132197073,2.3028670262456,-212.932842348372
46,0.465233955292732,0.15728798078944,1.51862267489395,2.30509894631317,-212.58087855059
47,0.129169417590129,0.208709408611419,1.06296274712961,2.78508876258805,-212.578702337829
48,0.18982148858099,0.21799219793671,1.79036298296134,2.14338409290015,-212.56635041519
49,0.191943179554619,0.454454206159488,1.52332943112624,2.20246931905224,-213.770287057078
50,0.318519813348721,0.0107921110825217,1.7456998568311,2.26564747811592,-211.700459402814
51,0.337433546291338,0.196786481675338,1.0624428114074,2.86303596449382,-213.224738351954
52,0.459724593967728,0.192798336013093,1.19480010305184,2.70012607144428,-213.222892633916
53,0.320045886121132,0.0185789788250259,1.09233796077328,2.17194340516118,-211.829702164234
54,0.381720284336458,0.164674583159438,2.2850528959419,2.41369974797828,-215.378550876513
55,0.106723479148323,0.328745597358272,1.89621313631082,2.2634967777169,-213.517044674023
56,0.118594627492675,0.20827697932764,2.00077069404082,2.2934594317096,-213.265509845182
57,0.263696828307327,0.224174356989195,1.49179288713595,3.00885916759022,-212.88337570854
58,0.122519412692379,0.0528332311457932,1.0541784592565,3.06168527763099,-213.014889042077
59,0.319306533276045,0.116741498226002,1.6386559657349,1.799617686558,-212.952705936717
60,0.30318479040067,0.0895095153880975,1.77144961530033,2.25025236771204,-211.985761238389
61,0.268390718617839,0.363106636062846,1.55990522502743,2.92404554669507,-213.939479153249
62,0.233036365345009,0.468921325601888,1.27947916387667,1.62414214575425,-216.55789405931
63,0.219738917177431,0.0783762666052287,1.70419951918622,2.28221812776052,-211.599889059364
64,0.195748191778969,0.0925235583366432,1.27450001350691,2.21028605327491,-211.367159739831
65,0.0840257133510857,0.100255914499047,1.51488286145449,2.47834208756666,-211.741719175623
66,0.685760595162018,0.0385361442382527,1.31931122653604,2.33006592476721,-213.099686245805
67,0.340100949759863,0.0931248721477292,1.45179869657884,2.74455666697851,-211.701884135091
68,0.295478755379147,0.273007764377992,1.2448429862364,2.55129907808533,-212.628633401895
69,0.138880255656386,0.218415224360121,1.15045105722066,2.04566811087808,-212.654398289031
70,0.84066320513566,0.21304668760053,1.42199697168808,2.15530433847836,-216.080034258515
71,0.413553320502693,0.077455809134393,1.54416643816046,2.5444388346731,-211.80963404635
72,0.107267186316975,0.196319575708063,1.42020035662688,2.53429357116224,-211.586470378405
73,0.424296970460422,0.111379913425848,1.35397101883978,2.3285834402704,-211.917273168753
74,0.409452535489496,0.00361492485441322,1.96527036159371,2.70134320565249,-213.202150660491
75,0.276464226707606,0.110101412320401,2.38717256203365,2.55183068931784,-215.469872451378
76,0.375193218199153,0.0128062138833712,1.23702139357176,2.29218193715188,-211.278823392369
77,0.257066393901946,0.0343706425133072,1.72147313252401,3.01422662434088,-212.634971079753
78,0.435902368366782,0.0179536453301737,1.09840836658453,1.75982614450077,-213.619172181413
79,0.174230118997119,0.0777542412536325,1.4728346825544,1.99201990114172,-211.796748436972
80,0.25090597147851,0.0928017738786875,1.18179798638115,2.57484206193705,-211.428215160431
81,0.405588704189756,0.00221196238191654,1.7822817791806,2.63183239437286,-212.207205101942
82,0.480148071258453,0.0627530132147436,2.12818798643994,2.44872655040629,-214.36095260163
83,0.146831551670457,0.137356245306981,1.51125714441569,2.47161159241617,-211.337713753464
84,0.279469162500931,0.116494319346836,1.33030597449088,3.5561319605545,-214.232200788609
85,0.0433391046898839,0.0963566322950964,1.42077015948289,1.4633560552825,-216.513821672432
86,0.210403774608794,0.287384254670822,1.78450973753625,2.48878069637388,-212.915628734632
87,0.207496629968241,0.00197695844390781,1.52421741205825,2.32401727578648,-211.312282758572
88,0.278837795566033,0.222687911775757,1.68094623184037,2.35250074073175,-212.349002633017
89,0.211712875105526,0.144892611980449,1.67762223540079,2.3576438244454,-211.680862581123
90,0.344571828680403,0.226355564821813,1.65175508312461,2.2694572791479,-212.661559209993
91,0.212823003661237,0.00584512391508524,1.92776187328962,2.39785363150379,-212.610778387192
92,0.459072110718864,0.0313807576219054,1.1178386200118,2.23461264835289,-212.156896392292
93,0.768729621184754,0.344577947812731,1.21204764935105,2.35400716251895,-216.929969473398
94,0.597257023441945,0.284689770116247,1.91944648585199,2.27944533679835,-215.830574045685
95,0.614405749299705,0.192800940182534,1.55338820744154,2.81089911483429,-214.590964739812
96,0.359753277112091,0.112725427132301,1.6206903562307,2.53326447018623,-211.907593784021
97,0.361678338813031,0.00721037487346054,1.01843862662572,2.24250579056531,-212.123447833957
98,0.214560747025137,0.0314144735401744,1.44658792930392,2.68452713857277,-211.262447707396
99,0.634780051337585,0.104857277573698,1.16280780206888,2.30694546031675,-213.645277604214
100,0.562368931202863,0.124498065113418,1.00344839888147,2.77747320034229,-214.264067651201
101,0.601065013399854,0.137072330146803,1.58056550169089,2.55365271510568,-213.57823659712
102,0.494153196118421,0.0110242601363737,1.54114529303,2.38843244144705,-211.733306278603
103,0.475380453583659,0.237702401150587,1.54340106207595,2.58945905241174,-213.487977311783
104,0.382339998998043,0.198262243028576,1.42569730428368,2.80065862463896,-212.73919482233
105,0.18798959464873,0.206306901740338,1.36869463142199,2.08877371253555,-211.966911164691
106,0.335416026223036,0.228921631447184,1.60470491664845,2.92616187550236,-213.286488650011
107,0.217062561836161,0.210090972575554,1.17123304510584,2.56814270893969,-212.015657664587
108,0.0890826972704349,0.108999627065912,1.26518334767876,2.57666171397008,-211.698272222
109,0.104336520867825,0.145905266705391,1.27067456468414,2.41362210679818,-211.544347107668
110,0.451875390766402,0.257464932476355,1.39719665250091,2.48150232374039,-213.281961781368
111,0.0931794738341837,0.259063958243331,1.89206404047728,2.0693891375733,-213.415716707917
112,0.0982228721382665,0.256079686907409,1.35039209011083,2.7963423634821,-212.228431910423
113,0.241835487465177,0.299749228446322,1.65640877517221,2.4224875610895,-212.717154151803
114,0.131500150536536,0.30994389370205,1.40490133598727,2.49222710908753,-212.204614034175
