"i","asc1","desc1","pol1","dem1","p"
1,6.44380322634242,1.87431592050038,0.885075535693606,1.94919900955804,-1232.20173932365
2,4.971855889773,8.05603448369569,0.892684739957267,0.763238247163872,-1165.15174442015
3,4.22245578258298,8.18141275339789,0.92557666375179,1.07649906180623,-1159.10221619866
4,3.58278404851444,5.52000943499646,0.706472900089922,0.988848939180245,-1150.80886281971
5,2.51279923203401,5.26487825646094,0.86077186544344,1.24204736948868,-1147.58332084167
6,2.20180693437298,7.26164436454914,0.711898950872905,0.886858231272509,-1145.79863562128
7,1.9664911928675,6.22952880359284,0.854415260966829,1.14840665075552,-1144.77636674739
8,2.26332172803533,6.2769085077116,0.902428505801906,0.806085421821063,-1144.76778186928
9,2.19937881233163,6.60735596660653,0.778930845492692,0.912774200122731,-1144.54217114239
10,1.58838483994313,6.72562208166371,1.00570311309835,0.70555448264365,-1147.03024154356
11,2.51368956407949,6.92232440481919,0.749958425475713,0.815733355029644,-1145.63143613445
12,2.3856924438487,6.33107420250687,1.29684342100019,0.92299408414462,-1146.40119839058
13,2.010711787435,6.24207869113028,0.762232301809956,0.704218006380825,-1145.89666375259
14,2.23959220636521,6.64415881723702,0.908097647649367,0.981322308029642,-1144.32930350278
15,1.9730041166104,6.06998226709269,0.754192632676233,0.99557213020864,-1144.98911090611
16,2.00474113498699,6.08481711275024,1.0258112578387,1.20588432485086,-1145.34368653942
17,2.02263083470382,5.6953282231473,1.17430684116637,1.08844641895323,-1146.55086084186
18,2.59570677048431,6.81582615766754,1.1444075898908,1.10143822312726,-1146.08434425465
19,2.62778605847044,6.1187620701742,0.956156894535566,1.61403372299297,-1148.53820671145
20,2.71113903297248,6.47504142564801,1.09591159361302,1.61501869407538,-1149.28907659359
21,2.13828476591361,7.07059150128705,1.05629454131126,1.34217291617684,-1146.42544386386
22,2.91027026752178,5.97572140405035,0.859098328248406,0.768984020255734,-1146.61755645736
23,1.84162398626265,6.3092437394437,0.994744591639647,1.18231109810527,-1145.28959854121
24,2.36069136078638,6.15538314716039,0.860512250502787,1.11938812538515,-1144.64893587506
25,2.69440493968557,6.68703239490358,0.89906699476918,1.13879515790845,-1145.48247453791
26,2.79287196928842,6.51680682003578,1.05885007598649,0.982280167764977,-1145.80828902598
27,1.9656523140168,5.6201490025044,0.901689704270559,1.11752652660808,-1145.87859451635
28,2.86879798816724,6.86793263033112,0.466690492168586,1.05728458408131,-1149.97515554058
29,3.11012720829082,7.68753971704362,0.486451309540924,1.23781458344104,-1153.42202382193
30,3.01211868622547,6.83477947973251,1.47047774266717,0.887305113326295,-1150.26588836732
31,1.87972373080539,6.73223632989056,0.710081583012928,1.05041250454331,-1145.24469324222
32,2.17441991980287,6.17895028646576,0.895746270433029,1.20480407279145,-1144.8159407603
33,2.35750628663847,6.4843215855784,0.872902189370776,0.837416198128954,-1144.63966862263
34,2.41816733662165,6.11466095615321,1.00001353303769,0.975344011699722,-1144.76613012203
35,2.3097499555656,6.7640894690863,0.897294975820923,1.07970081423403,-1144.56725278873
36,1.82103209362638,6.97667050080925,0.83914031109394,0.90453463674571,-1145.1817618234
37,2.38582813020137,6.03757441321939,1.12638460783782,0.92808461866693,-1145.42049437169
38,1.97794953009683,6.14624883046925,0.659847364162521,0.750439468793361,-1146.36182976175
39,1.99318556089524,6.12734714614779,1.11965478813279,1.33352893842174,-1146.40444978037
40,2.65008155976061,6.18088887718358,1.10981888809245,1.32850202166817,-1146.88125654742
41,2.55476324902053,6.04256228490584,1.02046883963983,1.33676777610897,-1146.38231402397
42,1.90378747451256,7.16415318816752,0.771202089366169,1.28187389595776,-1146.23433095534
43,2.08903448343414,6.10847735697935,1.07257182367726,0.978653205735056,-1144.97254835582
44,2.30911127242304,6.70988602277512,0.920573467742843,1.05743913518828,-1144.49357723847
45,2.09332287890881,6.82237019625954,0.853232689830721,0.687583075285629,-1145.64293490072
46,2.04875763991892,7.0346883674069,0.856150725256482,1.1725330473005,-1145.14421985188
47,2.35442886926393,6.93574951322848,0.848327545780519,0.800412775397972,-1145.14515329821
48,3.01371722464609,7.61261409181699,0.853208252493266,1.09930202286571,-1148.73007176772
49,3.1480178526246,7.23573616622545,0.90875108667297,0.908785665309709,-1148.08306523056
50,2.14560495435152,5.99639430908084,0.944163540161032,1.08725915466873,-1144.74914505332
51,1.78038223066334,6.4225802459807,0.796904269155864,0.837917857269186,-1145.37959621221
52,2.55727645193694,6.16924221376212,1.15615292244293,1.08983581080659,-1145.84395512574
