"i","asc1","desc1","pol1","p"
1,2.32874086475931,38.2706984814722,14.406194193239,-274.590485237266
2,0.100100188669672,17.6693576690741,1.74702139556474,-217.789468754767
3,1.25498097393788,13.6227093578782,1.82663132957249,-213.764438697331
4,4.15535260787013,5.54387776041403,1.18628627931765,-210.851892782398
5,8.89584339390289,1.43968797870912,1.78930597667648,-211.251624604011
6,7.71439309724386,5.49209204385988,1.96268539907477,-208.616987131891
7,7.98916547822113,6.74958536564372,1.21456934632733,-210.732011793186
8,6.32050264240271,8.23243342572823,1.19783345569492,-211.578868360661
9,5.62058365843287,8.48348420505227,1.49793078081318,-210.522647275393
10,6.6500625120013,1.65915799300002,2.10634893487774,-210.914565024559
11,8.47763570081471,4.94488989022376,1.44885027042225,-209.035942841619
12,8.57297484143665,4.92151641626457,1.23745434978335,-209.573480873128
13,4.75869897925323,6.49488718052941,3.63241773695043,-210.923356048622
14,5.31667800932219,6.29651127144017,1.45620300844601,-209.084159317404
15,4.7614180346488,5.10837319510311,1.88555208364748,-208.341239938568
16,8.31167435003473,2.9478730835791,1.29727559424252,-209.284336514555
17,8.22079694489977,3.04490729973905,1.68887796000824,-208.778409959206
18,9.32050633369973,5.13747655687176,1.59907115021967,-209.59634541683
19,7.2784244735728,4.31907271287226,2.46941072038619,-208.858244859638
20,5.11550201554811,6.9056658283417,2.6885858812487,-208.946991083469
21,5.26338926595664,6.5320673959405,1.82870215583837,-208.464476153895
22,5.82033397988444,6.295406387847,2.28585649136893,-208.433374101859
23,6.0919478101193,3.86645616354243,3.17284438940204,-210.620661343875
24,5.30500957076466,4.71104099690736,2.71033124179767,-208.941737634117
25,6.03253075559652,6.07771658474401,2.111782137502,-208.292024691318
26,3.84473420735477,7.55557501801112,2.50542189549842,-208.879225383504
27,3.78901569461478,6.34257037211963,2.38169680741752,-208.594293207035
28,5.49362389403423,6.70283870115698,2.85803683936732,-209.307888807861
29,3.92162866783356,7.44709189045996,2.4966255563418,-208.825460629845
30,1.70183763895212,6.96782005667508,2.47748265711623,-210.739679988271
31,7.90873372401139,1.94823026234106,2.41836828219737,-210.74399628699
32,7.57722078738762,3.81632918860585,2.49744228034313,-209.170522803491
33,3.67459724131068,4.98865466444575,1.76879002548684,-209.441614598367
34,8.46853125733351,5.34981738422819,1.56394549002347,-209.082756295046
35,8.12902398952311,3.54050838338033,1.47834850972926,-208.657376094719
36,9.23827705145842,5.30781168548173,1.62849383578156,-209.601843740614
37,9.02297812243497,2.84156621025658,1.21802777736899,-209.839814385065
38,6.66242748111991,6.57780755112662,2.04565939526525,-208.754890743046
39,4.47378412782719,5.32460586062416,3.62535047577364,-211.083171826597
40,5.48311353483742,8.13895548751361,3.62353727104743,-211.885453633082
41,4.72534269266335,7.17885796331973,3.35139045444918,-210.267707617117
42,4.60812923398031,5.90840676708319,1.95001525943769,-208.299953230354
43,4.83904207746661,5.07060397946241,1.61707120132302,-208.693169531682
44,6.50988424189371,4.73256700620021,1.09904206508386,-209.824046113894
45,8.45020344170724,2.59957144170965,1.08873048086266,-210.20675757243
46,8.49408022167143,3.16205224259935,1.75690757969048,-208.861322242546
47,8.25007484636252,5.75709978612859,1.39760356975373,-209.479319157376
48,5.71342076563258,5.19100870430257,2.58145435651582,-208.600059959799
49,5.53195286856429,3.9503166918249,2.48042836806451,-208.897127732066
50,6.56989924463863,5.1535069742204,1.76360271165349,-208.109795699376
51,6.24735341750504,4.78167587564898,2.44388175888188,-208.465123477219
52,5.56752865266474,5.05052288144696,1.89903081271067,-208.070765825465
53,5.58208386570634,4.28639087418895,2.11152926204245,-208.267848205543
54,5.76325560564594,2.89613713987972,1.67064157338332,-209.503562439821
55,6.19209559278982,3.30945559067521,1.82523429207954,-208.628057913193
56,7.02619094046252,4.25350894351014,1.77567071012112,-208.079522098134
57,6.22992251784028,5.60229656851056,2.55744693570045,-208.71060634153
58,3.17295168604866,5.89892579977017,3.48860223624402,-210.810458165957
59,7.43497752047433,6.00842407162464,1.34028765243025,-209.44662400193
60,6.72072617661497,4.5394070090556,1.34174080086419,-208.751750062017
61,6.49357655153899,4.45076262534759,1.20675227428334,-209.290148998053
62,9.08135860621287,5.51524799576192,2.12616555592449,-209.862132562567
63,5.28402677339791,5.32855882452032,2.35991852534407,-208.261775820024
64,8.55399298084258,2.87135187492869,1.22765258363851,-209.580280762143
65,7.45366582435845,5.16069019192993,2.07543534496271,-208.426162897618
66,6.0453107829514,5.03804429320781,1.90401942444182,-208.014351611917
67,8.27654186122409,5.28744962418615,2.09139721140414,-208.999992777952
68,7.62873340792312,8.11532857085741,1.95471375364027,-210.722752886203
69,1.22251731062597,10.2549997431056,3.55894606139659,-211.881691193181
70,1.88071133916556,12.3801995220424,2.04554014558121,-212.363503089595
71,2.46312206031043,11.0399183845443,3.21453964155229,-211.559877404239
72,4.37717126044353,6.82631480021565,1.52343748397256,-209.374292118228
73,6.72747017387209,5.84033314327872,2.15047319751376,-208.433052119358
74,2.52200837121253,9.99123940759501,2.92262212317931,-210.557752030069
75,2.10971209350424,8.427774618875,2.91194942864152,-210.116619855072
76,2.18890045317272,8.91501994690089,2.89327280703495,-210.144458191868
77,2.39206188371787,11.0900984143668,1.84069372100273,-211.759212264484
78,3.17249204441356,8.17740333129815,2.37062552586646,-209.214598423883
79,4.01040928262317,4.52870185094117,2.36283315221296,-209.113708233784
80,7.8148750510163,3.20671500873915,1.44068182590232,-208.763724871222
