"i","asc1","desc1","pol1","p"
1,27.7888396803755,26.8403976486454,0.0864234640886545,-315.943846401974
2,26.0286217746325,6.87351134367521,0.177580602051862,-281.196971553483
3,18.2900985579126,7.24532724259655,0.137272237244059,-256.429680890343
4,13.1594546286559,2.52694671083475,0.102213219729429,-246.892039170317
5,9.51123625558639,3.38322304067436,0.528611551991991,-242.606488579586
6,5.1114109527024,1.65861394949491,3.95785717808022,-236.337831898412
7,3.78528766177432,6.48251211893978,0.919009959114111,-236.748617047156
8,3.45905524428771,6.70366306574318,3.38189053071975,-234.104735668372
9,0.836269540310145,4.1814679195569,2.50794781606956,-233.156627222358
10,5.23043212091388,2.95425560413162,2.11000595197394,-229.189462468927
11,3.12988681003501,5.40886501510202,2.55607859606235,-230.07125822084
12,2.01656325129018,6.10393394976454,2.706527801575,-230.798464671193
13,1.53620344950043,5.46984926662008,2.80583916541517,-230.741320579582
14,3.60797597225912,3.07527241627286,1.75228694600381,-228.438579690852
15,3.90082887443104,2.9049862977543,1.60698901426375,-228.715800143733
16,3.52587636608544,2.57815434205877,1.83583797730833,-228.717113979589
17,4.40754699350847,2.673875033898,2.10522052404185,-228.664482828851
18,6.65600317337132,4.32582109523206,1.94523757873749,-232.149342639333
19,0.832334006135822,5.84287706142492,2.94638398234447,-232.562672656062
20,3.3004936416871,1.99613695483855,1.26020648508047,-231.543405191398
21,7.30526545473887,3.76549688023281,2.23916486750203,-232.623151276002
22,7.45015992310411,2.2128300066742,1.61516792799193,-231.179741589824
23,6.99960716108373,2.2386442034022,2.09193599551168,-230.829116054416
24,5.71887311914517,3.54805002105246,2.86536893808466,-231.389865465647
25,5.35630076557911,2.620697439268,2.93838979561065,-231.050553570779
26,2.64394721968251,4.77615705886087,2.50288199293633,-229.198755238451
27,2.74209055208753,3.95266009552388,2.92329751985285,-229.449823043409
28,3.08881219264272,3.62837998137793,2.06749663701497,-228.286139145279
29,2.75841060534272,3.66875301421818,2.12072967174523,-228.429276635885
30,2.94648471192609,3.14862186838139,1.72807381902881,-228.792151088789
31,3.67215459734164,3.94475878406514,2.08211617396835,-228.463574954185
32,4.05996775497275,4.5492570871546,2.3428414540055,-229.429868132124
33,3.33193501343095,4.05357780084601,2.35909137447987,-228.564162429424
34,4.03938366800622,4.03129576226353,1.57103826216975,-229.287526457438
35,4.3323676844787,2.48326170826918,2.62326161930891,-229.575344894267
36,3.87843464410008,4.34043568382627,2.54972904044909,-229.319066226063
37,2.15345251585432,4.62736971360287,1.21955726560911,-231.826264954668
38,5.41850001436487,1.09932885468594,1.36613936126007,-231.511382855513
39,6.46126813280225,0.859923297753162,2.29408219861573,-232.10286489601
40,6.91062742203811,2.66623110389257,2.05861350879779,-230.818269211789
41,5.40666988643224,2.95975044351777,2.28818595216311,-229.553690039961
42,2.76097205688583,3.16498407726882,1.98230215311651,-228.657154659963
43,5.17021397466177,4.53268545242732,1.83999710563239,-230.514283224255
44,3.69003004306369,2.4592622840382,2.32730250023906,-228.958231954169
45,3.58255155133456,3.56496796238172,2.55854899399583,-228.676079509719
46,2.33493577670679,2.93155484290729,2.98742834837776,-230.512222154099
47,2.49279530095309,5.10061139370181,2.39408081640159,-229.400332708102
48,4.53423639717885,3.03280502733641,1.98063985298131,-228.583339284437
49,4.03368719928339,2.82611412800715,3.114424570163,-230.367781406157
50,3.36101268842258,3.09779599857383,2.22249397582117,-228.323420223229
51,3.40639901876497,3.08519844979846,2.91874411136586,-229.443966577229
52,4.70666452933151,2.67949582625979,3.29590390649328,-231.583068948283
53,4.58371139916639,2.68867375132495,2.16039824070113,-228.792446626268
54,3.36989718389745,4.83878138860554,2.21991479322384,-229.198949445674
55,4.50943181703846,1.61816078716756,2.15374125652533,-230.433983997034
56,6.0828642269415,2.36849353819623,2.4959084428433,-230.630289677224
57,5.59518425020437,2.4416175392317,2.54873231020278,-230.293713343997
58,4.06087653099607,3.3175697987669,2.38982819182127,-228.600235866617
59,4.14359079159368,3.36352058823713,2.19649004746029,-228.460570084151
60,5.73407318138089,3.23078943647005,2.35947047565864,-230.10571257036
61,2.04762843831014,5.68448575560496,2.03836402036982,-230.058011291077
62,2.56529257630501,3.86707117988289,3.32152983472483,-230.555281833899
63,3.36817387901564,3.48568114775725,2.27736028303193,-228.296094436191
64,3.54575685334356,4.04570381597177,2.40533894203404,-228.677187882865
65,2.90459376007282,3.89447010940069,2.50995305991532,-228.65253344046
