"i","asc1","desc1","pol1","p"
1,2.3658721735701,1.03719139122404,2.2142017071601,-2118.60203396229
2,0.613862826431602,1.1330614605735,1.17802065002493,-1943.36782647555
3,0.678486051943315,1.20770204347323,1.31169929705776,-1945.01139582471
4,0.52392506671585,1.18100069783705,1.32483851282141,-1942.54433500077
5,0.462968355099496,1.12585279642681,1.26329343653161,-1941.94758364703
6,0.495447190281222,1.16595090701428,1.16696839811482,-1942.96788325504
7,0.549930083995104,1.22506891032713,1.31244200804339,-1943.19049702464
8,0.559729312461095,1.03910414355778,1.28616455161885,-1942.24037315756
9,0.604184408739505,1.1942984191046,1.30937737481534,-1943.31935261208
10,0.550672973031606,1.02782999095839,1.12527580302074,-1944.15849185925
11,0.573307322758653,1.02687362210566,1.35007614045313,-1943.11104747505
12,0.476300196601466,0.967871709618337,1.28964810128233,-1943.17586545254
13,0.531896390076894,0.965559253671749,1.32288636481639,-1943.40081579189
14,0.515101206122176,1.1617867012168,1.30988599246402,-1942.18304575153
15,0.498220787157055,0.986968952766206,1.35767698546419,-1943.34679775619
16,0.463363032189411,1.03870921114962,1.17267056792059,-1943.06339302747
17,0.550433209901019,1.19780948640349,1.24614705313013,-1942.57478708153
18,0.486376460445389,1.05896975100758,1.28318283618443,-1941.87427244178
19,0.542082523324471,1.11146377019086,1.16259359768239,-1942.80333946753
20,0.519537138233437,1.01538624420264,1.38137542940296,-1943.34203528186
21,0.436561128833395,1.04337960843435,1.26165610220834,-1942.45754228134
22,0.522007047209021,1.18528930366477,1.28734284893524,-1942.30979604133
23,0.529665705542301,1.08050103447217,1.12675117917417,-1943.63647736327
24,0.502624583518481,1.13783018524018,1.15480672370665,-1942.99730835128
25,0.608196851186803,1.08130702680432,1.37880060240524,-1943.77683928102
26,0.581098568570544,1.01579097170988,1.32276718435706,-1943.00921026732
27,0.488272492494185,1.13601443455231,1.27970045428787,-1941.85744834811
28,0.465759150155219,1.16869042781637,1.29766957063638,-1942.30298441691
29,0.39797494309153,1.12453953248911,1.2501612140093,-1943.0199034722
30,0.413254568401162,1.22827248277605,1.35874016848099,-1944.46205421905
31,0.568316737654504,1.1571383760393,1.17356374581211,-1943.0008248907
32,0.515231813809709,1.05591478828233,1.3333559386701,-1942.22015006272
33,0.573050201033757,0.954429744939029,1.25932759276453,-1943.75994613278
34,0.580810211253107,1.23283989102132,1.17751695257086,-1943.99129590612
35,0.426334522392267,1.23521396940126,1.19325557471607,-1944.17371740544
36,0.543327703799718,1.14163932725226,1.19009785280838,-1942.45719923651
37,0.491387640488306,1.13536229879128,1.23599407296462,-1941.91226510995
38,0.448611191623571,1.05622229979012,1.27328442040447,-1942.18372315953
39,0.532712544841659,1.16560988299846,1.30756332037427,-1942.25749953918
40,0.419976865776323,1.12417272227282,1.20974979233428,-1942.85512218954
41,0.608122159326979,1.06685032979982,1.20574318559329,-1942.95240232656
42,0.566180760836781,1.04691654728191,1.38223772949505,-1943.39221793341
43,0.602234347636559,1.11724843698699,1.1822819838228,-1943.07391104485
44,0.314781423697506,1.16686670653668,1.25656661904059,-1946.4630247717
45,0.528232949466992,1.06222613653314,1.24245799578937,-1941.8758764237
46,0.552165827303803,1.08242679093179,1.24755982826344,-1941.91571193763
47,0.608581445363117,0.985266457159082,1.27895411091214,-1943.66664439931
