"i","asc1","desc1","p"
1,8.62930301739834,4.54646564740688,-704.102943516379
2,6.26190735423006,5.02391539678925,-699.350170250356
3,5.57594359759241,5.06754523349825,-698.712262221505
4,5.22469846485183,4.46227528850447,-699.1331985651
5,5.40928021864966,5.55057133288953,-698.660127029152
6,4.96589508256875,6.85025659829277,-700.081007264612
7,5.31034098402597,4.00383269620959,-700.122759370494
8,4.80740201892331,4.07185450100239,-700.151551367873
9,4.69723910468119,5.72181842100706,-698.561054207592
10,5.30379875332537,6.76608881235022,-700.082303478831
11,4.28563378893259,6.75143517641165,-700.11911564443
12,4.43418208814646,4.78393080824801,-698.960881790096
13,5.30595964917402,5.80250043323078,-698.751604619349
14,6.10685202667909,4.20805060461909,-699.906233979405
15,6.57782106057229,5.830451947812,-700.273128094853
16,4.41027239432978,4.23023889184744,-700.070065500512
17,3.97784191605123,5.13346847792902,-699.238146507246
18,4.71326829937706,4.64403030596488,-698.964447527613
19,6.2241481621454,4.76988880516776,-699.378166255444
20,4.1704001208156,6.04331323731505,-699.195126515931
21,5.15517388333973,5.03010856029686,-698.54072925274
22,4.73088021276925,4.25575064863187,-699.71052242794
23,6.40688680667627,4.09786323142188,-700.388673962133
24,3.69594823565531,6.79335776051456,-701.226891015193
25,4.60802525868441,5.14240425788747,-698.542182541552
26,4.17327867705325,4.79559667511793,-699.240878893453
27,4.25682958921524,6.92169467229329,-700.488947666087
28,4.03785828112731,6.40348224583946,-699.843644394822
29,4.5568096307862,5.04941432070851,-698.620126107892
30,3.69913318178723,4.49517895785457,-700.731814642116
31,6.54849308014954,4.89016215169167,-699.734611304167
32,5.88737807304293,4.79144918537995,-699.050855481523
33,5.54268036330318,5.39530260002812,-698.696829564255
34,4.90330712766586,5.54502249199128,-698.465130764882
35,4.55107401926134,4.9445026101747,-698.702867035235
36,4.85142214000289,5.29282227453938,-698.43605804815
37,4.24247311387099,6.42347855369723,-699.599066035423
38,5.44216235732548,6.25708236235356,-699.348962632989
39,4.68073309334814,4.65868627272709,-698.959615467742
