"i","asc1","desc1","pol1","dem1","p"
1,9.14905795566945,1.25653808424641,0.110667292764175,0.839624029111305,-443.382543576593
2,2.54180308399799,1.78112734388952,0.0842950352308793,0.895317842619877,-422.747272806878
3,2.34043363427468,1.83760122023915,0.0940919207753126,1.05537213445121,-423.034441402925
4,1.44785547009713,1.71588439611179,0.346324790803886,0.518347599055667,-422.095310451841
5,2.34401600910395,1.26806039765798,0.170840277892241,0.979321710708361,-421.652233819795
6,2.39702412821912,0.944562969386475,0.204142371515447,0.938326275799014,-422.332930318916
7,2.13188236825746,2.0554725151806,0.127200369073886,0.944187538357042,-421.828495494022
8,1.98441816600618,1.68873996509415,0.237432972014172,0.897359727578798,-420.624229336693
9,2.07004973087355,1.33270485304325,0.34053158212348,0.969692125846261,-422.12309918112
10,1.99129808596765,2.08387303835262,0.476188880827988,0.630964166181722,-423.257495936522
11,2.08984912744677,2.17893189022798,0.353293421195131,0.768701064245031,-422.018499163308
12,2.00273358820891,1.51069361486627,0.384417865025905,0.703745141004399,-421.246481072559
13,2.24704399858641,1.93896983450434,0.292640629615492,0.859304719883375,-421.522555230342
14,2.11681461801193,1.38884482993917,0.224165079002084,0.858580689282572,-420.556617110749
15,1.43821653119661,2.54020471587019,0.343977396143886,0.603206458372479,-422.649842499501
16,1.77513851529359,2.6872385718877,0.338376085758189,0.650798060031506,-422.915922937289
17,2.42666112819443,1.2284638182743,0.2692717911669,0.66547486640054,-421.097072040809
18,1.50135267434398,2.25802121656614,0.277305223232346,0.798949161487957,-421.133838068711
19,2.18397576492485,1.30387318921874,0.247936747085736,0.688033083136786,-420.569464338393
20,2.01922626807559,1.22544775712903,0.136360967489268,0.823615531009601,-421.364237787963
21,2.15636639622793,1.60487926962442,0.183180280152529,0.841839008619572,-420.517655934235
22,2.06740021193221,1.39332464525133,0.220692440950496,0.717140589242681,-420.307799067436
23,2.37088503899536,0.835213829196424,0.282143328699686,0.862449892962386,-422.850462710543
24,2.01312404779269,1.50498570953901,0.315687691888198,0.532890482738649,-421.487794778585
25,2.07316550287902,3.35102420531708,0.249331039262906,0.588979031043603,-425.670597344657
26,0.921614081220627,2.9638641511419,0.293274943924636,0.526679318586986,-426.21313755157
27,2.25265615954429,1.49456980916235,0.325057317769868,1.05668903203516,-422.930431489511
28,1.88724044025827,2.07296366841544,0.0243090823525385,1.18446484129711,-426.654826555887
29,1.76356038651381,3.33160217749898,0.285248571280332,1.07375751706607,-427.458267791384
30,0.945290806376822,1.07501151776884,0.159901433782137,0.736589831748568,-427.879128594645
31,1.69782435139593,2.88922965530208,0.342815896461347,0.897867774998583,-424.490275766234
32,1.76964522120494,1.20718586951582,0.0228353507934158,0.989933358487598,-427.592331587147
