"i","asc1","desc1","pol1","dem1","p"
1,0.523294908673141,1.69878347311169,1.87027691012034,0.560455544441424,-3039.7206320049
2,0.320105030349407,1.61441278828364,1.10171518834094,0.44706253052835,-2984.99556982357
3,0.616857217700582,1.6323255826177,0.979712205222803,0.499763907796361,-2984.48199451846
4,0.602174388552341,1.6831944513924,1.03326604203632,0.447948222799116,-2984.29336586946
5,0.499826594374449,1.67054614727711,0.938227630429115,0.501338911508675,-2982.27835563132
6,0.400644648792207,1.75498172575831,0.955380005830777,0.443672828840374,-2981.98870219386
7,0.383636973796058,1.72909060371483,0.925249483588483,0.500950651397448,-2982.6234642474
8,0.381499825831294,1.75723066376586,1.02840246951746,0.439366861532383,-2981.87680314953
9,0.460332170365409,1.84882439449494,0.996398775769194,0.507602279439101,-2982.20635903167
10,0.397604125694862,1.83177538373204,0.941824589728315,0.442889532117267,-2982.31319674202
11,0.443981252646455,1.52824338772779,1.03648524485213,0.463213272860023,-2981.83342388925
12,0.450479842339793,1.85847097960813,0.963507587069033,0.439342595837305,-2982.21892102914
13,0.421335020721256,1.63256280363193,1.05618504611689,0.514977826081348,-2981.79523121658
14,0.481330727361424,1.65679287416132,0.993411884316313,0.495794416978122,-2981.41616369143
15,0.402221683244844,1.78074849188531,0.990906011610003,0.54282478461409,-2982.54490163765
16,0.387383426869789,1.66736722619764,0.942906255616987,0.554890558068801,-2983.1735929084
17,0.461073715161463,1.6888311228112,0.962059538660052,0.534991811038185,-2982.14055942341
18,0.358119145082874,1.88569910089463,0.950187918157498,0.563238866050714,-2984.66453457295
19,0.407478648987453,1.84354342088081,0.9908763203673,0.551543002712458,-2983.08853725097
20,0.538021699045185,1.91630904016282,0.948677008578257,0.447749195877935,-2984.38364588846
21,0.382478984398214,1.60835541706234,1.04244931909886,0.571882988544461,-2983.5745591971
22,0.423262086412478,1.62935735492926,1.04789445492045,0.381725896559771,-2984.07011733833
23,0.453542609459699,1.76667200073559,0.977622035259578,0.530944241799546,-2982.26106896379
24,0.387129080186639,1.91045756799128,1.1178007337413,0.546200809044341,-2985.23511960075
25,0.393359769081129,1.46865820649971,1.09156183973178,0.495411954375509,-2983.75883515416
26,0.359718810633928,1.55417149314319,1.10767053293694,0.545722991266786,-2984.67639827906
27,0.377920814608555,1.82465549777856,1.00648345556042,0.455788680707395,-2981.75255879769
28,0.565103505871501,1.63964373286678,0.988765290538403,0.489026539365163,-2982.84320353808
29,0.430576422575476,1.64167394663037,1.10697088937466,0.53000078423318,-2982.97718628022
30,0.432362591752677,1.6288394923349,0.997694245007457,0.509225769698588,-2981.34393768264
31,0.381591854572872,1.75278112898724,0.999112214561363,0.53638286039018,-2982.48009672732
32,0.46958791454676,1.66042011685489,1.10409039652438,0.448066431983261,-2982.61764846779
33,0.495146816364422,1.69867902158933,0.990085784688746,0.426530468043262,-2982.39134166244
34,0.495861908518504,1.82919384353939,0.88955190749525,0.532700104894102,-2984.84503813467
35,0.482240735762617,1.55963552744273,0.864362230703561,0.495322548340991,-2984.4273441014
36,0.40287119011914,1.66204683507006,0.952011993918824,0.446805790998193,-2982.1173755541
37,0.503135636199911,1.54118273321477,1.05176384661141,0.514900523324554,-2982.46054441269
38,0.558131841562695,1.57921099763302,1.01936811117701,0.436438291792604,-2983.26339423995
39,0.526877692468093,1.83613020975808,1.01419879729816,0.482284834597324,-2983.02249660153
40,0.46536328646876,1.51899697610843,1.01752432196127,0.497214402232976,-2981.85237436827
41,0.366830962343985,1.51373565199519,0.990493214315521,0.458703095560398,-2982.99385059544
42,0.464058795591205,1.76685235628592,1.01757387311576,0.46262580230356,-2981.59268096876
43,0.503983042045832,1.86715844893525,0.998007243128973,0.40411316447887,-2983.64697068463
44,0.478375488620532,1.73931960546025,1.06412065527636,0.471341196700721,-2982.02695218138
45,0.477460573074584,1.71529981138729,1.01101017224877,0.532146293012636,-2982.12845402854
46,0.467834161353315,1.54257015263882,0.985107965470763,0.541880972231036,-2982.36491616084
47,0.485761843605689,1.71910154036467,0.962131769203647,0.496344413667356,-2981.92336497591
48,0.407585402738966,1.66313860222546,1.01327869054513,0.454882219292145,-2981.50457828971
49,0.340533412001764,1.48363236164755,1.0120436381763,0.460952045284475,-2984.17157025341
50,0.509772312688982,1.52458826477324,0.948320243728714,0.483430203109416,-2982.65047794208
51,0.495745916797026,1.59081991390942,1.03292227370722,0.605560002256861,-2984.73675793899
52,0.522031134984475,1.71228549031009,0.961490290591996,0.360181880666216,-2986.40266088111
53,0.405316357559544,1.51707675966834,1.0340883518835,0.428858552922571,-2982.84035559165
54,0.479124814495538,1.58936776972459,0.995964816139989,0.468723301207543,-2981.43402807643
55,0.422515552572108,2.08760165934286,0.999182863764547,0.49239937329602,-2985.40699485117
56,0.408617762908849,1.7807750271058,1.01188506198107,0.403481036072785,-2982.50122310404
57,0.50554416570283,1.85885488496928,1.01435452185896,0.407329137116137,-2983.51097141151
58,0.554800074633216,1.427049280738,1.02712411827732,0.51092723423928,-2985.08799596394
59,0.546604246822658,1.82892677361308,1.08134997611259,0.48660149140281,-2984.22971124244
60,0.317725283276119,1.8283904123695,1.08150182003524,0.447715095104839,-2983.97813201072
61,0.448012364884426,1.86464885264177,0.899328656172343,0.403854772477532,-2984.54037625721
62,0.401825678925481,1.72254013557343,1.02360395167276,0.540361257647678,-2982.34543646702
63,0.420289224928408,1.81038223843446,1.06128447705328,0.510945706084334,-2982.24436744035
64,0.38530548833181,1.77359533103143,1.04974293697502,0.511971402575644,-2982.19419784534
65,0.455283181838553,1.82360471163513,1.10703632969286,0.423854475506191,-2983.25861182166
66,0.466910703703068,1.7421053758469,1.07227224763204,0.428609543200979,-2982.50463799588
67,0.337428449725128,1.78236848801566,1.09271089071285,0.491633039829547,-2983.49970566464
68,0.503771490061196,1.7580795338024,0.949845497112089,0.540211591334308,-2983.26953702089
